1173 	Namibia 	Wasteland 	Africa 			
1779 	Rub' al Khali 	Wasteland 	Asia 			
1781 	Western Siberia 	Wasteland 	Asia 			
1782 	Central Siberia 	Wasteland 	Asia 			
1783 	Eastern Siberia 	Wasteland 	Asia 			
1784 	Tian Shan 	Wasteland 	Asia 			
1785 	Pamir 	Wasteland 	Asia 			
1786 	Takla Makan 	Wasteland 	Asia 			
1787 	Himalaya 	Wasteland 	Asia 			
1788 	Arunachal 	Wasteland 	Asia 			
1789 	Papua 	Wasteland 	Oceania 			
1790 	Western Australia 	Wasteland 	Oceania 			
1791 	Central Australia 	Wasteland 	Oceania 			
1793 	El Djouf 	Wasteland 	Africa 			
1794 	Central Sahara 	Wasteland 	Africa 			
1795 	East Sahara 	Wasteland 	Africa 			
1796 	Central Africa 	Wasteland 	Africa 			
1797 	Northern Congo Basin 	Wasteland 	Africa 			
1798 	Imatong 	Wasteland 	Africa 			
1799 	Urgoma 	Wasteland 	Africa 			
1801 	Kalahari 	Wasteland 	Africa 			
1802 	Western Amazonas 	Wasteland 	South America 			
1803 	Eastern Amazonas 	Wasteland 	South America 			
1804 	Greenland 	Wasteland 	North America 			
1805 	Ungava 	Wasteland 	North America 			
1806 	Weagamow 	Wasteland 	North America 			
1807 	Baffin 	Wasteland 	North America 			
1808 	Great Basin 	Wasteland 	North America 			
1810 	Alaska 	Wasteland 	North America 			
1811 	Nunavut 	Wasteland 	North America 			
1812 	Northwest Territories 	Wasteland 	North America 			
1814 	Columbia 	Wasteland 	North America 			
1950 	Meghalaya 	Wasteland 	Asia 			
2129 	Changtang 	Wasteland 	Asia 			
2194 	Qilian 	Wasteland 	Asia 			
2200 	Suleiman Range 	Wasteland 	Asia 			
2251 	Guinea 	Wasteland 	Africa 			
2334 	Badiyat ash Sham 	Wasteland 	Asia 			
2425 	Nenets 	Wasteland 	Europe 			
2426 	Yamal 	Wasteland 	Asia 			
2608 	Rocky Mountains 	Wasteland 	North America 			
2740 	Borneo 	Wasteland 	Asia 			
2936 	Guyana 	Wasteland 	South America 			
4146 	Langfjella 	Wasteland 	Europe 			
4153 	The Scandes 	Wasteland 	Europe 			
4154 	The Pyrenees 	Wasteland 	Europe 			
4155 	The Carpathians 	Wasteland 	Europe 			
4156 	The Caucasus 	Wasteland 	Europe 			
4157 	The Alps 	Wasteland 	Europe 			
4159 	The Alps 	Wasteland 	Europe 			
4160 	The Alps 	Wasteland 	Europe 			
4161 	The Alps 	Wasteland 	Europe 			
4162 	The Alps 	Wasteland 	Europe 			
4167 	High Atlas 	Wasteland 	Africa 			
4168 	High Atlas 	Wasteland 	Africa 			
4169 	Aures 	Wasteland 	Africa 			
4170 	Zagros 	Wasteland 	Asia 			
4172 	Zagros 	Wasteland 	Asia 			
4177 	Alborz 	Wasteland 	Asia 			
4178 	Pontic Mountains 	Wasteland 	Europe 			
4179 	Hakkari Mountains 	Wasteland 	Asia 			
4276 	Jabal Tubaiq 	Wasteland 	Asia 			
4321 	Egyptian Desert 	Wasteland 	Africa 			
4322 	Egyptian Desert 	Wasteland 	Africa 			
4328 	Chagai 	Wasteland 	Asia 			
4400 	Naga Hills 	Wasteland 	Asia 			
4401 	Arakan Mountains 	Wasteland 	Asia 			
4402 	Gaoligong Mountains 	Wasteland 	Asia 			
4403 	Hengduan Mountains 	Wasteland 	Asia 			
4522 	Aqenganggyai 	Wasteland 	Asia 			
4569 	High Atlas 	Wasteland 	Africa 			
4657 	Changbai Mountains 	Wasteland 	Asia 			
4763 	The Alps 	Wasteland 	Europe 			
4807 	North Borneo 	Wasteland 	Asia 			
4808 	Sumatra 	Wasteland 	Asia 			
4843 	Annamite Mountains 	Wasteland 	Asia 			
4844 	Dawna Hills 	Wasteland 	Asia 			
4924 	Laurentian Massif 	Wasteland 	North America 			
4925 	White Mountains 	Wasteland 	North America 			
4926 	Adirondacks 	Wasteland 	North America 			
4927 	Blue Mountains 	Wasteland 	North America 			
4928 	Allegheny Front 	Wasteland 	North America 			
4929 	Appalachians 	Wasteland 	North America 			
4930 	Alleghenies 	Wasteland 	North America 			
4931 	Cumberland Mountains 	Wasteland 	North America 			
4932 	Great Smoky Mountains 	Wasteland 	North America 			
4933 	Blue Ridge 	Wasteland 	North America 
